name,Longitude,Latitude
Mexico,-102.5234517,23.94753724
Marshall Is.,170.3397612,7.00376358
Macedonia,21.68211346,41.59530893
Mali,-3.54269065,17.34581581
Malta,14.40523316,35.92149632
Myanmar,96.48843321,21.18566599
Montenegro,19.23883939,42.78890259
Mongolia,103.0529977,46.82681544
N. Mariana Is.,145.6196965,15.82927563
Mozambique,35.53367543,-17.27381643
